    main_id    |        ra        |        dec         |     sp_type     |  B  |  V
"* ome01 Aqr"  |354.94612245626996|-14.22215365198     |"A7IV"           |5.221|4.977
"* rho Cet"    |36.48752435596    |-12.290474306709998 |"A0V"            |4.841|4.866
"* sig Aqr"    |337.66175584903   |-10.6779180573      |"A0IVs"          |4.73 |4.81
"* gam Aqr"    |335.41404820054   |-1.38734919411      |"A0V"            |3.791|3.834
"* kap Psc"    |351.73314946743994|1.2556049758899996  |"A2VpSrCrSi"     |4.98 |4.94
"* lam Psc"    |355.51168899749325|1.7800421380697224  |"A7V"            |4.72 |4.51
"* gam Cet"    |40.825162898112545|3.2358163764959436  |"A2Vn+F4V"       |3.56 |3.47
"* tet Peg"    |332.5499525505046 |6.1979215882049985  |"A1Va"           |3.62 |3.55
"* rho Peg"    |343.80695367221   |8.81618146013       |"A1V"            |4.9  |4.9
"* gam Equ"    |317.58541696715   |10.13158110216      |"A9VpSrCrEu"     |4.94 |4.68
"* mu. Cet"    |41.23557227441292 |10.114144927239167  |"A9IIIp"         |4.57 |4.26
"* alf Peg"    |346.19022269142596|15.205267147927536  |"A0IV"           |2.44 |2.48
"* gam01 Ari"  |28.3825800137264  |19.2959529982388    |"A0Vnp_lB"       |4.558|4.589
"* gam02 Ari"  |28.382553868509998|19.293855549769997  |"A2IVpSiSrCr"    |4.49 |4.52
"* tau Peg"    |350.15935928822   |23.740355064460005  |"A5Vp_lB"        |4.745|4.58
"* omi Peg"    |340.43918403521   |29.307675284260004  |"A1IV"           |4.78 |4.79
"* ups Psc"    |19.86664022127417 |27.264058655233615  |"A3V"            |4.789|4.748
"* eps Ari"    |44.80302231581191 |21.34043263555175   |"A2IV+A3IVs"     |4.67 |4.63
"* tet And"    |4.272926513519167 |38.68163572933945   |"A2V"            |4.67 |4.61
"* sig And"    |4.581905703219166 |36.78522459491082   |"A2V"            |4.57 |4.52
"* mu. And"    |14.188371146487498|38.499334271586946  |"A6V"            |3.99 |3.87
"* gam Tri"    |34.32861363899208 |33.84719681816611   |"A1Vnn"          |4.02 |4.0
